8144, ACCT 2101  001, Main,3, Financial Accounting, ThursdaySMTWTFS05:30  PM   08:00  PM Type:  Class Building: Speakman Hall Room: 00112 Start Date: 01 13 2020 End Date: 05 06 2020, 7   22 of 50 seats remain 100 of 100 waitlist seats remain, Reginald F  White  Primary, 
20792, ACCT 2101  002, Main,3, Financial Accounting, WednesdaySMTWTFS05:30  PM   08:00  PM Type:  Class Building: Speakman Hall Room: 00115 Start Date: 01 13 2020 End Date: 05 06 2020, FULL: 0 of 50 seats remain  88 of 100 waitlist seats remain, George Metro  Primary, 
37184, ACCT 2101  003, Main,3, Financial Accounting, TuesdaySMTWTFS05:30  PM   08:00  PM Type:  Class Building: Speakman Hall Room: 00114 Start Date: 01 13 2020 End Date: 05 06 2020,1 of 40 seats remain 90 of 100 waitlist seats remain  Open Seats Reserved for Waitlisted Only, Timothy O Rourke  Primary, 
1249, ACCT 2101  004, Main,3, Financial Accounting, Tuesday ThursdaySMTWTFS09:30  AM   10:50  AM Type:  Class Building: Gladfelter Hall Room: 0L013 Start Date: 01 13 2020 End Date: 05 06 2020, 9   203 of 300 seats remain 100 of 100 waitlist seats remain, A J  Kreimer  Primary, 
6126, ACCT 2101  005, Main,3, Financial Accounting, ThursdaySMTWTFS05:30  PM   08:00  PM Type:  Class Building: Alter Hall Room: 0A233 Start Date: 01 13 2020 End Date: 05 06 2020, 6   7 of 40 seats remain 100 of 100 waitlist seats remain, Lu Lu  Primary,
6626, ACCT 2101  009, Main,3, Financial Accounting, Tuesday ThursdaySMTWTFS11:00  AM   12:20  PM Type:  Class Building: Gladfelter Hall Room: 0L013 Start Date: 01 13 2020 End Date: 05 06 2020, 9   137 of 300 seats remain 100 of 100 waitlist seats remain, A J  Kreimer  Primary, B
30592, ACCT 2101  730, Main,3, Financial Accounting, WednesdaySMTWTFS07:00  PM   08:55  PM Type:  Virtual mtg of online course Building: Online Room   Place Holder Room: CLSRM Start Date: 01 13 2020 End Date: 05 06 2020, 7   30 of 40 seats remain 100 of 100 waitlist seats remain, CHRISTIAN E  WURST Jr   Primary,
40813, ACCT 2101  801, Japan,3, Financial Accounting, Tuesday ThursdaySMTWTFS03:50  PM   05:20  PM Type:  Class Building: Temple Japan Main Building Room: 00403 Start Date: 01 14 2020 End Date: 04 22 2020, 7   17 of 48 seats remain 100 of 100 waitlist seats remain, David M  Sigaty  Primary,
42529, ACCT 2101  802, Japan,3, Financial Accounting, Monday Wednesday FridaySMTWTFS11:30  AM   12:30  PM Type:  Class Building: None Room: None Start Date: 01 14 2020 End Date: 04 22 2020, 7   23 of 24 seats remain 100 of 100 waitlist seats remain, Akashi Hongo  Primary,
11018, ACCT 2102  001, Main,3, Managerial Accounting, Tuesday ThursdaySMTWTFS12:30  PM   01:50  PM Type:  Class Building: Gladfelter Hall Room: 0L013 Start Date: 01 13 2020 End Date: 05 06 2020, 1 of 270 seats remain 72 of 100 waitlist seats remain  Open Seats Reserved for Waitlisted Only, Barbara Su  Primary,
6073, ACCT 2102  004, Main,3, Managerial Accounting, WednesdaySMTWTFS05:30  PM   08:00  PM Type:  Class Building: Speakman Hall Room: 00112 Start Date: 01 13 2020 End Date: 05 06 2020, FULL: 0 of 50 seats remain  94 of 100 waitlist seats remain, Dmitri Byzalov  Primary,
11020, ACCT 2102  005, Main,3, Managerial Accounting, TuesdaySMTWTFS05:30  PM   08:00  PM Type:  Class Building: Alter Hall Room: 0A032 Start Date: 01 13 2020 End Date: 05 06 2020, 7   12 of 50 seats remain 100 of 100 waitlist seats remain, Reginald F  White  Primary, 
6129, ACCT 2102  006, Main,3, Managerial Accounting, MondaySMTWTFS05:30  PM   08:00  PM Type:  Class Building: Alter Hall Room: 0A035 Start Date: 01 13 2020 End Date: 05 06 2020, 7   39 of 50 seats remain 100 of 100 waitlist seats remain,NA,
6074, ACCT 2102  008, Main,3, Managerial Accounting, WednesdaySMTWTFS05:30  PM   08:00  PM Type:  Class Building: Alter Hall Room: 0A032 Start Date: 01 13 2020 End Date: 05 06 2020, 7   26 of 50 seats remain 100 of 100 waitlist seats remain, injie Ma  Primary, 
23294, ACCT 2102  009, Main,3, Managerial Accounting, Monday Wednesday FridaySMTWTFS10:00  AM   10:50  AM Type:  Class Building: Alter Hall Room: 0A239 Start Date: 01 13 2020 End Date: 05 06 2020, FULL: 0 of 50 seats remain  74 of 100 waitlist seats remain, Shira Cohen  Primary, 
23295, ACCT 2102  010, Main,3, Managerial Accounting, Monday Wednesday FridaySMTWTFS09:00  AM   09:50  AM Type:  Class Building: Alter Hall Room: 0A239 Start Date: 01 13 2020 End Date: 05 06 2020, FULL: 0 of 50 seats remain  85 of 100 waitlist seats remain, Shira Cohen  Primary, 
